bikeStationAddress,latitude,longitude,freeBikes
Macpherson Ave / Spadina Rd,43.675791,-79.40698,3
Bridgeman Ave / Kendal Ave,43.675556,-79.410278,11
Bridgeman Ave / Bathurst St,43.674444,-79.414722,4
Kendal Ave / Bernard Ave,43.671513,-79.408317,0
Pretoria Av / Broadview Av,43.6783213,-79.35822,0
Broadview Ave/ Westwood Ave,43.6848652,-79.356602,2
Fulton Ave / Pape Ave,43.68395,-79.347046,9
Cosburn Ave / Donlands Ave,43.690537,-79.341307,1
Beltline Trail / Chaplin Cres.,43.704461,-79.423122,4
Lake Shore Blvd E / Leslie St,43.659195,-79.329196,17
King St E / Ontario St.,43.651885,-79.3649,12
Rosedale Park (20 Schofield Ave),43.682645,-79.377557,5
Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305556,11
Soho St. / Queen St W,43.6494896,-79.393535,7
Davenport Rd / Landsdowne Rd,43.671526,-79.44874,6
Front St W / University Ave (1),43.6451635,-79.3831757,14
Front St W / University Ave (2),43.6452972,-79.3827914,13
457 King St W.,43.6452091,-79.3960744,19
Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111,16
Roxborough St W / Yonge St,43.678077,-79.390328,7
Crawford St / Queen St W,43.645665,-79.415345,15
Lisgar St / Dundas St SMART,43.6493472,-79.42668,3
Dupont St / Emerson Ave  SMART,43.667266,-79.443946,0
Dundas St E / Regent Park Blvd,43.660207,-79.361275,0
Lower Sherbourne St / The Esplanade,43.648655,-79.367061,7
Nelson St / Duncan St,43.648711,-79.389728,29
Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,13
Queen St E / Sackville St,43.6561111,-79.36138889,11
Mill St / Tannery Rd,43.652219,-79.354455,33
Cherry St / Distillery Ln,43.650279,-79.356832,9
Front St E / Cherry St,43.652686,-79.358395,13
Queen St W / Spadina Ave,43.649147,-79.395504,9
Yonge St / Harbour St,43.643795,-79.375413,20
Willcocks St / St. George St,43.662085,-79.397735,14
Dundas St E / Parliament St,43.659575,-79.365769,10
51 Parliament St,43.65205,-79.362198,18
Queen's Park / Bloor St W,43.668456,-79.393899,2
Fort York Blvd / Bathurst St SMART,43.639052,-79.399792,14
Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,16
College St / Markham St,43.65638889,-79.40916667,1
Queen St W / Cowan Ave,43.6409,-79.432837,7
Queen St W / Gladstone Ave,43.64305556,-79.4275,22
Harbord St / Clinton St,43.660414,-79.415646,5
Central Tech (Harbord St),43.661975,-79.407896,0
Roxton Rd / Harbord St,43.65905,-79.422988,0
Ulster St / Bathurst St,43.66,-79.40888889,0
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,4
Woodbine Subway Green P (SMART),43.686829,-79.311073,5
Danforth Ave / Barrington Ave,43.688325,-79.300463,1
Pacific Ave / Glenlake Ave - SMART,43.65716,-79.46478,12
High Park - West Rd,43.6525077,-79.4654233,15
Broadview Ave / Danforth Ave,43.6772,-79.35858,0
Church St / Wood St,43.662712,-79.379903,1
College Park- Gerrard Entrance,43.658938,-79.383518,17
Danforth Ave / Coxwell Ave,43.683378,-79.322961,5
12 Harbour St,43.6425636,-79.3762,11
Howard Park Ave / Dundas St W,43.6521,-79.4486,7
Yonge St / Bloor St,43.669969,-79.386532,0
Dufferin Gate,43.633473,-79.425679,16
Lake Shore Blvd W / Ontario Dr (Ontario Place),43.630254,-79.420317,8
Bloor St W / Shaw Ave,43.662403,-79.423098,1
Concord Av / Dewson St,43.656945,-79.424911,1
Hocken Ave./Vaughan Rd.,43.6817346,-79.4184725,1
St Clair Ave W / Bathurst St.,43.683296,-79.418734,0
Queen St E / Nursewood Rd (Neville Park Loop),43.673831,-79.281455,7
Kew Beach Ave / Kenilworth Ave,43.666325,-79.3014,15
Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,10
Baldwin Ave / Spadina Ave,43.654905,-79.398448,15
Frederick St / King St E,43.651118,-79.369411,21
College St / Borden St,43.6571,-79.4056,0
Phoebe St / Spadina Ave,43.650033,-79.396555,7
Beverley  St / Dundas St W,43.652823,-79.393388,18
Bay St / St. Joseph St,43.665527,-79.387499,1
Gould St / Mutual St,43.6582,-79.3768,3
Riverdale Park North (Broadview Ave),43.671172,-79.354704,0
Danforth Ave / Ellerbeck St,43.677076,-79.35667,1
Pape Subway Green P,43.680223,-79.344062,6
Danforth Ave / Gough Ave,43.678401,-79.346289,10
Danforth Ave / Lamb Ave,43.681991,-79.329455,3
King St W / Stafford St,43.6422222,-79.41111111,6
Bathurst St / Lennox St,43.663808,-79.410491,1
Bathurst Subway Station,43.6666667,-79.41166667,5
Bloor St W / Christie St,43.6638889,-79.41888889,0
Ossington Ave / Bloor St W,43.661705,-79.425734,0
Essex St / Christie St,43.6686111,-79.42027778,0
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,0
Havelock St / Dufferin Park,43.657343,-79.43112,7
Bathurst St / Adelaide St W,43.645324,-79.40345,13
Mill St / Parliament St,43.650256,-79.36163,13
Ossington Ave / Harrison St,43.65111111,-79.42138889,3
80 Clinton St (North of College),43.656296,-79.414663,7
Dundas St W / Crawford St,43.649722,-79.416944,10
Claremont St / Dundas St W,43.651281,-79.411717,0
Rusholme Park Cres / College St,43.65277778,-79.42972222,0
College St / Crawford St,43.655,-79.418889,6
Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,16
Queen St E / Alton Av,43.663912,-79.327987,18
Simcoe St / Wellington St 2,43.6462176,-79.3855048,15
Coxwell Ave / Plains Rd,43.69595,-79.328535,12
Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,0
Logan Ave / Bain Ave,43.6720273,-79.3470557,7
Liberty St / Fraser Ave Green P,43.637981,-79.424146,19
King St W / Douro St,43.640885,-79.416379,3
Queen St E / Berkeley St,43.6552778,-79.36583333,11
Howard St / Sherbourne St,43.6712581,-79.376367,0
Carlton St / Parliament St,43.664524,-79.36793,0
Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,0
King St W / Bay St (East Side),43.648575,-79.380042,19
Front St W / Blue Jays Way,43.643473,-79.390477,13
Metro Hall Plaza,43.645859,-79.38783,27
Parliament St / Gerrard St,43.662132,-79.3656796,15
Navy Wharf Ct. / Bremner Blvd.,43.640722,-79.391051,0
Jarvis St / Carlton St,43.66207,-79.37617,3
Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,10
Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,12
