bikeStationAddress,latitude,longitude,freeBikes
Summerhill Station,43.681944,-79.390556,2
Highfield Rd / Gerrard St E,43.671771,-79.324961,17
Niagara St / Richmond St W,43.64534,-79.409597,10
85 Beaty Avenue,43.6393107,-79.4408141,16
163 Fallingbrook Rd,43.6830689,-79.279682,8
Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,12
Donlands Station,43.681114,-79.3373885,3
Lynn Williams St / East Liberty St,43.638925,-79.4168659,11
Eastwood Rd / Woodbine Ave,43.676216,-79.309395,10
Victoria St / Queen St E,43.652822,-79.378208,23
Dundas St E / Victoria St,43.656311,-79.379158,23
26 Dundas Street East,43.656633,-79.379625,15
Gerrard St E / Victoria Park Ave,43.686962,-79.286864,1
98 Glenvale Boulevard,43.718039,-79.371914,6
Bay St / Scollard St,43.672152,-79.39018,3
Weston Rd / St Clair Ave W,43.673019,-79.467994,13
60 Raab Blvd,43.72268,-79.37644,6
505 College Street,43.6504218,-79.4407647,13
1451 Yonge Street,43.6885046,-79.3940052,1
Spadina Ave / Blue Jays Way,43.641705,-79.393295,11
2511 bloor st w,43.647663,-79.487583,15
Simcoe St / Dundas St W,43.6558557,-79.3894093,4
Test,43.720998,-79.377456,3
3180 Yonge Street,43.7281464,-79.4032194,4
Simcoe St / Michael Sweet Ave,43.65232722,-79.38825382,15
Queen St W / Dovercourt Rd,43.6438602,-79.4227573,4
25 Montgomery Ave,43.7093201,-79.3996301,2
2639 Bloor St W,43.64920407,-79.49336334,8
225 University Avenue,43.6503935,-79.3860211,18
135 Queens Warf,43.6399714,-79.399404,14
"406 Oakwood Ave, York, ON M6E 2W3",43.6882706,-79.43937767,3
Granby St / Church St -SMART,43.6614605,-79.3789457,0
Lumsden Ave / Eastdale Ave,43.69413548,-79.30058719,1
24 Lawrence Ave East,43.7254665,-79.4011545,6
Roehampton Ave / Yonge St,43.7083577,-79.398862,1
Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785,20
Hanna Ave / Liberty St,43.6384009,-79.4197107,8
425 Don Mills Rd,43.7027268,-79.3336809,7
St Columba Pl / St Clair Ave E,43.70567,-79.310554,4
Strachan Ave / Princes' Blvd,43.635,-79.40888889,19
King St E / River St,43.65678478,-79.35627385,5
Yonge St / Golfdale Rd,43.732016,-79.403637,3
909 Yonge St,43.67515256,-79.38849616,0
640 Bloor Street East,43.67468857,-79.36701962,4
"1 Chedington Pl, North York, ON M4N 3R4",43.72736549,-79.38142546,3
1303 YONGE Street,43.6846177,-79.3924592,1
Tommy Thompson Park (Leslie Street Spit),43.64583558,-79.32088911,4
York University Station - SMART,43.77345,-79.5002,5
Woodbine Subway Station - SMART,43.686442,-79.313404,4
698 Spadina Avenue,43.664028,-79.4029787,9
25 BOOTH AVE,43.6544839,-79.341057,19
Simcoe St / Adelaide St W,43.6481303,-79.38632,20
Simcoe St / Queen St W,43.65049,-79.3873,39
Bathurst St / Front St W,43.6413479,-79.4013882,13
Bay St / Harbour St (East),43.64215,-79.377,20
Ward Ave / Wallace Ave,43.663337,-79.446444,1
E Liberty St / Western Battery Rd,43.6392777,-79.4115736,3
522 King Street West,43.645102,-79.3974498,21
"1101 Bloor Street West, Toronto",43.6602021,-79.4342726,0
200 Parkside Drive,43.644887,-79.4564117,13
26 Lipton Avenue,43.680012,-79.3440325,6
York St / Lakeshore St W - South,43.641952,-79.380723,13
Fort York Blvd / Garrison Rd,43.637381,-79.406112,11
Housey St / Dan Leckie Way,43.63811,-79.397877,25
1529 Dundas Street West,43.64957,-79.432446,15
Bay St / Harbour St,43.64191,-79.378325,12
85 Lee Ave,43.6700692,-79.2971326,11
78 Mutual Street - SMART Vault,43.6559476,-79.3755883,1
Victoria Park Ave / Dawes Rd - SMART Vault,43.707212,-79.2952873,7
Queen St E and Joseph Duggan Rd - SMART Vault,43.6677628,-79.3081171,12
Heyworth Cres / Kingston Rd - SMART Vault,43.6750806,-79.3068697,10
St Clair Ave W / Caledonia Rd - SMART Vault,43.6754247,-79.4547813,8
St Clair Ave W / Cloverdale Rd - SMART Vault,43.6739248,-79.4615434,12
Roncesvalles Ave / Fermanagh Ave - SMART Vault,43.6467433,-79.446895,18
Wellington St W / Stafford St,43.6409957,-79.4096663,3
111 Broadview Ave,43.6593483,-79.3499366,7
Christie St / Dupont St,43.67168,-79.421192,0
Richmond St E / Jarvis St Green P,43.652634,-79.374222,4
Bathurst St / Dundas St W,43.6519501,-79.4060978,12
274 Oak St,43.6613642,-79.3641171,14
24 Mountjoy Ave - SMART Vault,43.6808774,-79.3304491,2
88 Colgate Ave - SMART Vault,43.6623658,-79.3413344,14
Felstead Ave / Gillard Ave (Monarch Park) - SMART Vault,43.6791345,-79.3263159,14
The Esplanade & Lower Jarvis St,43.6478206,-79.3704721,15
7972 Remembrance Drive,43.635495,-79.4035221,18
101 cedarvale Ave,43.6868681,-79.3110942,0
St Clair Ave W / Oakwood Ave - SMART Vault,43.678177,-79.435364,3
5 Merton Street,43.6962302,-79.3950434,8
Shaw St / Essex St - SMART,43.667076,-79.425116,0
High Park Outdoor Pool,43.649217,-79.465319,3
St Clair Ave W / Robina Ave - SMART Vault,43.68005,-79.43469,9
Joseph J Piccininni Community Centre,43.675648,-79.4527619,11
11 SPADINA RD,43.6677246,-79.4041365,0
Yonge / Wellesley,43.66496416,-79.38355032,1
Vanauley St / Queen St W,43.648437,-79.39838,11
519 Church St,43.6663308,-79.3809503,4
Sherbourne St / Wellesley St E,43.6673,-79.374,4
Queen St W / York St (City Hall),43.6517925,-79.3826951,23
Queen St W / Roncesvalles Ave,43.6372958,-79.4423237,3
71 Havelock Street,43.6554793,-79.4302462,2
2 Heath Street West,43.686352,-79.415894,2
999 Queen Street West,43.6442457,-79.4161044,18
York University Station,43.7741,-79.5005,5
333 St.Clair Ave West,43.683979,-79.410657,0
Spadina Ave / Adelaide St W,43.6472019,-79.3953394,15
Cherry St / Mill St,43.6513927,-79.3579466,5
Jarvis St / Maitland Pl,43.6647688,-79.3772602,1
55 Temperance St,43.6506,-79.381285,6
Cherry Beach Sports Field (55 Unwin Ave),43.6408346,-79.3429074,9
Emerson Ave / Bloor St W,43.6586525,-79.440502,3
152 Perth Avenue,43.6585504,-79.4497659,11
15 Denison Ave,43.6484201,-79.4005192,18
8 Maud Street,43.6461512,-79.3998214,9
324 Cedarvale Avenue,43.693187,-79.314283,7
18 Portland Street,43.6425791,-79.4001173,3
75 The Esplanade,43.6469251,-79.3733192,13
620 King Street West,43.644395,-79.4006543,15
360 King Street West,43.6463574,-79.391206,8
280 Wellesley Street East,43.6682342,-79.3702641,1
1126 Yonge Street,43.6791876,-79.390719,0
Davenport Rd / Bedford Rd,43.674446,-79.398331,0
PRINCES GATE / NUNAVUT DR,43.6334636,-79.4143057,13
Exhibition GO Station,43.6352007,-79.4187711,5
265 Armadale Ave,43.6501644,-79.4829691,25
800 Fleet Street,43.636804,-79.408832,40
St Joseph St / Bay St,43.6658804,-79.3876101,5
1085 Kingston Rd,43.68035,-79.28357,4
Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,15
150 Highview Avenue,43.70241858,-79.25631671,6
Kingston Rd / Warden Ave,43.68824136,-79.27046628,4
Birchcliff Ave / Kingston Rd,43.691688,-79.265027,8
5 Glen Everest Rd (Rosetta McClain Gardens),43.69749005,-79.25655146,5
Birchmount Rd / Kingston Rd,43.69401298,-79.26257205,7
2301 Kingston Rd,43.70643614,-79.25104443,7
Pharmacy Ave / Danforth Ave,43.6929478,-79.2833998,5
Danforth Ave / Warden Ave,43.6950192,-79.2718066,5
2343 Eglinton Ave W,43.6926325,-79.4627536,8
50 Natal St,43.7105975,-79.2541175,2
2067 EglintonAve W,43.69415,-79.4578258,2
The Royal Ontario Museum (Bloor St Entrance),43.66850005,-79.3946236,4
120 Marlee Ave,43.70163,-79.44099,8
BERT ROBINSON PARK,43.688028,-79.460265,10
200 Rogers Rd,43.68323,-79.455765,15
1963 Eglinton Ave W,43.69466,-79.45377,11
23 Chester Ave.,43.6784834,-79.3513564,5
2682 Bloor St W,43.6501687,-79.4963345,12
342 Prince Edward Dr N,43.6492,-79.50602,12
Luttrell Ave / Danforth Ave,43.6897656,-79.2939525,4
Nassau St / Bellvue Ave,43.6537513,-79.4028245,12
1926 Lake Shore Blvd W,43.6357643,-79.4674917,14
9 Willingdon Blvd,43.64839,-79.51008,14
36A Park Lawn Road,43.6236917,-79.4838132,4
119 Constance Street,43.648657,-79.458111,9
Ted Rogers Way / Bloor St E,43.671293,-79.380471,21
481 Locksley Avenue,43.69932707,-79.44936304,6
316 Park Lawn Road,43.6356059,-79.4934616,6
Tobemory Dr / Finch Hydro Recreational Trail,43.7611741,-79.5114452,18
The Well,43.6428899,-79.3946346,17
Driftwood Ave / Finch Hydro Trail,43.7603624,-79.5162777,10
45 Grand Avenue,43.62313,-79.4918,15
1804 Ian Macdonald Boulevard,43.772445,-79.511912,0
