restaurant_name,address,rating,review_count,reslatitude,reslongitude,bikeStationAddress
Agio,1351 St Clair Avenue W,4.5,188,43.67599,-79.45066,Primrose Ave / Davenport Rd
Tre Mari Bakery,1311 Saint Clair Avenue W,4.5,91,43.6765,-79.44868,Primrose Ave / Davenport Rd
Famiglia Baldassarre,122 Geary Avenue,4.5,67,43.67052,-79.4350599,Primrose Ave / Davenport Rd
Rush Hour,1438A Dufferin Street,4.5,46,43.67111,-79.44037,Primrose Ave / Davenport Rd
Farmhouse Tavern,1627 Dupont Street,3.5,264,43.664786604468,-79.45523480746996,Primrose Ave / Davenport Rd
Parallel,217 Geary Avenue,4.0,90,43.6694450818033,-79.4385803863406,Primrose Ave / Davenport Rd
Khmer Thai Restaurant,1018 St Clair Avenue W,4.0,138,43.67937,-79.43781,Primrose Ave / Davenport Rd
The Sovereign,1359 Davenport Road,4.5,34,43.67299,-79.44002,Primrose Ave / Davenport Rd
CANO Restaurant,1108 St Clair Avenue W,4.5,63,43.67871,-79.44058,Primrose Ave / Davenport Rd
Good Behaviour,342 Westmoreland Avenue N,4.5,43,43.670771021124935,-79.434624,Primrose Ave / Davenport Rd
Wallace Espresso,188 Wallace Avenue,4.5,44,43.6624238862292,-79.4442284724458,Primrose Ave / Davenport Rd
King's Tacos,1190 St Clair Avenue W,4.0,78,43.67803,-79.4440599,Primrose Ave / Davenport Rd
Rio 40 Restaurant,1256 Saint Clair Avenue West,4.0,62,43.67747,-79.44643,Primrose Ave / Davenport Rd
Tuckshop Kitchen,1640 Dupont Street,4.5,53,43.66499,-79.45568,Primrose Ave / Davenport Rd
Itacate,998 St. Clair Avenue W,4.5,56,43.6793908547042,-79.4371611624956,Primrose Ave / Davenport Rd
Marcello’s pizzeria,1163 Saint Clair Avenue W,4.0,97,43.67783,-79.4425399,Primrose Ave / Davenport Rd
Koji Japanese Restaurant,1553 Dupont Street,4.5,38,43.6653247110788,-79.4528076801096,Primrose Ave / Davenport Rd
Barista & Chef,1006 Saint Clair Avenue W,4.5,51,43.6794533,-79.4374528,Primrose Ave / Davenport Rd
Sushi California,1238 Saint Clair Avenue W,3.5,95,43.6776399,-79.44563,Primrose Ave / Davenport Rd
Pizza e Pazzi,1182 St Clair Avenue W,4.0,86,43.678,-79.443872,Primrose Ave / Davenport Rd
The Burger's Priest,1636 Queen Street E,3.5,499,43.666699590075,-79.3155846030585,Queen St. E / Rhodes Ave.
Maha's,226 Greenwood Avenue,4.0,573,43.67167,-79.32853,Queen St. E / Rhodes Ave.
Lahore Tikka House,1365 Gerrard Street E,3.5,537,43.67148,-79.32451,Queen St. E / Rhodes Ave.
Chino Locos Original,4 Greenwood Avenue,4.0,190,43.6644821,-79.3255005,Queen St. E / Rhodes Ave.
Lake Inez,1471 Gerrard Street E,4.5,92,43.67234,-79.32064,Queen St. E / Rhodes Ave.
Lazy Daisy's Cafe,1515 Gerrard Street E,4.0,146,43.6726699,-79.3194,Queen St. E / Rhodes Ave.
Udupi Palace,1460 Gerrard Street E,3.5,204,43.67273,-79.3210299,Queen St. E / Rhodes Ave.
Queen Margherita Pizza,1402 Queen Street E,3.5,188,43.664969,-79.324168,Queen St. E / Rhodes Ave.
Casa Di Giorgios,1646 Queen St E,4.0,71,43.6668499,-79.31518,Queen St. E / Rhodes Ave.
O Sushi,6 Coxwell Avenue,4.0,57,43.66654,-79.31693,Queen St. E / Rhodes Ave.
British Style Fish & Chips,73 Coxwell Avenue,4.0,51,43.66861,-79.31723,Queen St. E / Rhodes Ave.
The Sidekick,1374 Queen Street E,4.5,31,43.6645889,-79.3251114,Queen St. E / Rhodes Ave.
Chick-N-Joy,1483 Queen Street E,4.0,54,43.66509,-79.32132,Queen St. E / Rhodes Ave.
Regency Restaurant,1423 Gerrard Street E,4.0,77,43.67201,-79.32238,Queen St. E / Rhodes Ave.
Tea N Bannock,1294 Gerrard Street E,4.5,44,43.671182,-79.3273557,Queen St. E / Rhodes Ave.
Hastings Snack Bar,5 Hastings Avenue,4.5,41,43.66381,-79.32893,Queen St. E / Rhodes Ave.
Motimahal,1422 Gerrard St E,3.5,106,43.6723799,-79.32265,Queen St. E / Rhodes Ave.
The Famous Indian Cuisine,1410 Gerrard Street E,4.0,65,43.67211780345,-79.3232195824385,Queen St. E / Rhodes Ave.
Jaclyn's,1588 Queen Street E,4.5,14,43.66627,-79.31802,Queen St. E / Rhodes Ave.
Toto Sushi,1455 Gerrard Street E,4.5,28,43.672262,-79.3212267,Queen St. E / Rhodes Ave.
Richmond Station,1 Richmond Street W,4.5,857,43.6513729,-79.379285,Bond St / Queen St E
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3298,43.64784,-79.38872,Bond St / Queen St E
Pearl Diver,100 Adelaide Street E,4.0,615,43.65163,-79.37375,Bond St / Queen St E
Blaze Pizza,10 Dundas Street East,4.5,578,43.6565313336776,-79.3800427473602,Bond St / Queen St E
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1772,43.66042406856627,-79.37890046282942,Bond St / Queen St E
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,881,43.656321731393,-79.377499580039,Bond St / Queen St E
Eggspectation,483 Bay Street,4.0,747,43.6532721,-79.3812455,Bond St / Queen St E
Mystic Muffin,113 Jarvis Street,4.5,287,43.652457948594,-79.372548881465,Bond St / Queen St E
George Restaurant,111 Queen Street E,4.5,291,43.65337263523713,-79.37432933100068,Bond St / Queen St E
Sansotei Ramen,179 Dundas Street W,4.0,925,43.655,-79.38643,Bond St / Queen St E
Beerbistro,18 King Street E,4.0,679,43.649467134996364,-79.3771696548727,Bond St / Queen St E
The Carbon Bar,99 Queen Street East,4.0,405,43.6531872633836,-79.3747868765724,Bond St / Queen St E
Byblos,11 Duncan Street,4.5,883,43.647546,-79.388123,Bond St / Queen St E
The Senator,249 Victoria Street,4.0,488,43.65574,-79.37896,Bond St / Queen St E
Canoe,66 Wellington Street  W,4.0,730,43.646954,-79.382159,Bond St / Queen St E
Katsuya,66 Gerrard Street E,4.5,473,43.65995,-79.37882,Bond St / Queen St E
GB Hand-pulled Noodles,66 Edward Street,4.0,569,43.65669,-79.38385,Bond St / Queen St E
Sap,401 Bay Street,3.5,547,43.651946,-79.381114,Bond St / Queen St E
The Poke Box,36 Toronto Street,4.5,175,43.6505,-79.37657,Bond St / Queen St E
Terroni,57A Adelaide Street E,3.5,761,43.6508,-79.3756,Bond St / Queen St E
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1772,43.66042406856627,-79.37890046282942,Church St / Alexander St
Katsuya,66 Gerrard Street E,4.5,473,43.65995,-79.37882,Church St / Alexander St
Kintaro Izakaya,459 Church Street,4.0,228,43.66417,-79.38006,Church St / Alexander St
Blaze Pizza,10 Dundas Street East,4.5,578,43.6565313336776,-79.3800427473602,Church St / Alexander St
Banh Mi Boys,399 Yonge Street,4.0,508,43.6590974,-79.3820781,Church St / Alexander St
The Keg Steakhouse + Bar,515 Jarvis Street,4.0,359,43.6668345,-79.3779253,Church St / Alexander St
Hair of the Dog,425 Church Street,4.0,361,43.662946823805,-79.379592870241,Church St / Alexander St
Sansotei Ramen,179 Dundas Street W,4.0,925,43.655,-79.38643,Church St / Alexander St
Riddle Room,579 Yonge Street,4.5,185,43.6657555,-79.3847049,Church St / Alexander St
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,881,43.656321731393,-79.377499580039,Church St / Alexander St
GB Hand-pulled Noodles,66 Edward Street,4.0,569,43.65669,-79.38385,Church St / Alexander St
Si Lom Thai Bistro,534 Church Street,4.0,190,43.66503,-79.38082,Church St / Alexander St
Tinuno,31 Howard Street,4.0,613,43.6711430082347,-79.374853497263,Church St / Alexander St
Salad King Restaurant,340 Yonge Street,3.5,1013,43.65766,-79.38164,Church St / Alexander St
Como En Casa,565 Yonge Street,4.0,240,43.6653391464388,-79.3844996650524,Church St / Alexander St
KINTON RAMEN,396 Church Street,4.0,226,43.6603113,-79.3789004,Church St / Alexander St
Wow Sushi,11 Charles Street,4.0,420,43.6685157490107,-79.3868207931519,Church St / Alexander St
The Senator,249 Victoria Street,4.0,488,43.65574,-79.37896,Church St / Alexander St
Zakkushi On Carlton,193 Carlton Street,4.0,320,43.66343,-79.37062,Church St / Alexander St
Fabarnak Community Cafe and Catering,519 Church Street,4.0,126,43.66655,-79.3809,Church St / Alexander St
Sansotei Ramen,179 Dundas Street W,4.0,925,43.655,-79.38643,University Ave / Gerrard St W
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1772,43.66042406856627,-79.37890046282942,University Ave / Gerrard St W
Seven Lives Tacos y Mariscos,72 Kensington Avenue,4.5,1446,43.6544903,-79.4008299,University Ave / Gerrard St W
Blaze Pizza,10 Dundas Street East,4.5,578,43.6565313336776,-79.3800427473602,University Ave / Gerrard St W
GB Hand-pulled Noodles,66 Edward Street,4.0,569,43.65669,-79.38385,University Ave / Gerrard St W
Richmond Station,1 Richmond Street W,4.5,857,43.6513729,-79.379285,University Ave / Gerrard St W
Manpuku Japanese Eatery,105 McCaul Street,4.0,509,43.65406,-79.39101,University Ave / Gerrard St W
Banh Mi Boys,392 Queen Street W,4.5,1219,43.64884,-79.39695,University Ave / Gerrard St W
Banh Mi Boys,399 Yonge Street,4.0,508,43.6590974,-79.3820781,University Ave / Gerrard St W
Eggspectation,483 Bay Street,4.0,747,43.6532721,-79.3812455,University Ave / Gerrard St W
Poke Guys,112 Elizabeth Street,4.0,369,43.65484,-79.38517,University Ave / Gerrard St W
Katsuya,66 Gerrard Street E,4.5,473,43.65995,-79.37882,University Ave / Gerrard St W
Japango,122 Elizabeth Street,3.5,709,43.6551,-79.38524,University Ave / Gerrard St W
JaBistro,222 Richmond Street W,4.0,575,43.64989,-79.38821,University Ave / Gerrard St W
Juicy Dumpling,280 Spadina Ave,4.5,579,43.65252,-79.39854,University Ave / Gerrard St W
Karine's,109 McCaul Street,4.0,250,43.654152,-79.391194,University Ave / Gerrard St W
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,881,43.656321731393,-79.377499580039,University Ave / Gerrard St W
Koh Lipe,35 Baldwin Street,4.0,232,43.65586,-79.39347,University Ave / Gerrard St W
Salad King Restaurant,340 Yonge Street,3.5,1013,43.65766,-79.38164,University Ave / Gerrard St W
Ikkousha Ramen,249 Queen Street W,4.5,278,43.65024,-79.38873,University Ave / Gerrard St W
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1772,43.66042406856627,-79.37890046282942,Edward St / Yonge St
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3298,43.64784,-79.38872,Edward St / Yonge St
Blaze Pizza,10 Dundas Street East,4.5,578,43.6565313336776,-79.3800427473602,Edward St / Yonge St
Sansotei Ramen,179 Dundas Street W,4.0,925,43.655,-79.38643,Edward St / Yonge St
GB Hand-pulled Noodles,66 Edward Street,4.0,569,43.65669,-79.38385,Edward St / Yonge St
Richmond Station,1 Richmond Street W,4.5,857,43.6513729,-79.379285,Edward St / Yonge St
Eggspectation,483 Bay Street,4.0,747,43.6532721,-79.3812455,Edward St / Yonge St
Banh Mi Boys,399 Yonge Street,4.0,508,43.6590974,-79.3820781,Edward St / Yonge St
Katsuya,66 Gerrard Street E,4.5,473,43.65995,-79.37882,Edward St / Yonge St
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,881,43.656321731393,-79.377499580039,Edward St / Yonge St
Salad King Restaurant,340 Yonge Street,3.5,1013,43.65766,-79.38164,Edward St / Yonge St
JOEY Eaton Centre,1 Dundas St W,3.5,526,43.6558708964233,-79.382009190213,Edward St / Yonge St
Poke Guys,112 Elizabeth Street,4.0,369,43.65484,-79.38517,Edward St / Yonge St
The Senator,249 Victoria Street,4.0,488,43.65574,-79.37896,Edward St / Yonge St
The Queen And Beaver Public House,35 Elm Street,4.0,404,43.65734,-79.38334,Edward St / Yonge St
Japango,122 Elizabeth Street,3.5,709,43.6551,-79.38524,Edward St / Yonge St
Pearl Diver,100 Adelaide Street E,4.0,615,43.65163,-79.37375,Edward St / Yonge St
Barberian's Steak House,7 Elm Street,4.0,305,43.6576,-79.38212,Edward St / Yonge St
JaBistro,222 Richmond Street W,4.0,575,43.64989,-79.38821,Edward St / Yonge St
Manpuku Japanese Eatery,105 McCaul Street,4.0,509,43.65406,-79.39101,Edward St / Yonge St
Insomnia Restaurant & Lounge,563 Bloor Street W,4.0,1002,43.665961,-79.411003,Euclid Ave / Bloor St W
Hodo Kwaja,656 Bloor Street W,4.5,239,43.66438,-79.41557,Euclid Ave / Bloor St W
Buk Chang Dong Soon Tofu,691 Bloor Street W,4.0,475,43.66363,-79.4169299,Euclid Ave / Bloor St W
KINKA IZAKAYA ANNEX,559 Bloor St W,4.0,497,43.665157,-79.410658,Euclid Ave / Bloor St W
Korean Village Restaurant,628 Bloor Street W,4.0,395,43.66461,-79.41444,Euclid Ave / Bloor St W
Rustle & Still Café,605 Bloor Street W,4.5,150,43.66457,-79.41304,Euclid Ave / Bloor St W
Snakes & Lattes Annex,600 Bloor Street W,4.0,354,43.665,-79.4132,Euclid Ave / Bloor St W
Yasu,81 Harbord Street,4.5,412,43.66269,-79.40314,Euclid Ave / Bloor St W
Ramen Isshin,421 College Street,4.5,781,43.65634,-79.40689,Euclid Ave / Bloor St W
Yummy Korean Food Restaurant,620 Bloor Street W,4.0,268,43.66469,-79.4140199,Euclid Ave / Bloor St W
Tofu Village - House of Soon Tofu,681 Bloor Street W,4.0,201,43.66371,-79.4165699,Euclid Ave / Bloor St W
Jin Dal Lae,647 Bloor Street W,4.5,107,43.664166,-79.41517,Euclid Ave / Bloor St W
Rasa,196 Robert Street,4.5,313,43.6627752,-79.4039682,Euclid Ave / Bloor St W
Tacos El Asador,689 Bloor Street W,4.0,321,43.6636499,-79.41686,Euclid Ave / Bloor St W
Barrio Coreano,642 Bloor Street W,3.5,247,43.664411943278395,-79.41512609658861,Euclid Ave / Bloor St W
Kevin's Taiyaki,675 Bloor Street,4.5,77,43.66381,-79.41621,Euclid Ave / Bloor St W
Fuwa Fuwa Japanese Pancakes,408 Bloor Street W,4.0,392,43.6659512785201,-79.4078764691949,Euclid Ave / Bloor St W
Mr.Tonkatsu,520 Bloor Street W,4.0,192,43.66541,-79.41074,Euclid Ave / Bloor St W
Sunrise House,661 Bloor Street W,4.0,215,43.66401,-79.41561,Euclid Ave / Bloor St W
Her Father's Cider Bar & Kitchen,119 Harbord Street,4.5,183,43.66232,-79.40453,Euclid Ave / Bloor St W
Black Camel,4 Crescent Road,4.5,377,43.677122232751,-79.389209714264,Yonge St / Aylmer Ave
Grandma Loves You,1084 Yonge Street,5.0,70,43.677846,-79.3901081050852,Yonge St / Aylmer Ave
PLANTA,1221 Bay Street,4.0,483,43.6702150961667,-79.3894335574237,Yonge St / Aylmer Ave
Scaramouche Restaurant Pasta Bar & Grill,1 Benvenuto Place,4.5,328,43.68155,-79.39991,Yonge St / Aylmer Ave
Trattoria Nervosa,75 Yorkville Avenue,4.0,381,43.67101,-79.39104,Yonge St / Aylmer Ave
Joso's,202 Davenport Road,4.5,164,43.6751099,-79.39607,Yonge St / Aylmer Ave
Wow Sushi,11 Charles Street,4.0,420,43.6685157490107,-79.3868207931519,Yonge St / Aylmer Ave
Sassafraz,100 Cumberland Street,3.5,399,43.6702957,-79.3910686,Yonge St / Aylmer Ave
Playa Cabana,111 Dupont Street,4.0,466,43.6759577692695,-79.4011840224266,Yonge St / Aylmer Ave
Café Boulud,60 Yorkville Avenue,3.5,272,43.6719213,-79.388922,Yonge St / Aylmer Ave
Buca Yorkville,53 Scollard Street,4.0,203,43.67214,-79.3894,Yonge St / Aylmer Ave
Salad Days,Cumberland Terrace,4.5,124,43.6704,-79.38719,Yonge St / Aylmer Ave
Okonomi House Restaurant,23 Charles Street W,4.0,305,43.668311069021,-79.387133746804,Yonge St / Aylmer Ave
The Keg Steakhouse + Bar,515 Jarvis Street,4.0,359,43.6668345,-79.3779253,Yonge St / Aylmer Ave
Portici,6 Scollard Street,4.0,86,43.67196,-79.39072,Yonge St / Aylmer Ave
Salad House,13 Hayden Street,4.5,88,43.6695636,-79.3855593,Yonge St / Aylmer Ave
Utsav,69 Yorkville Ave,4.0,132,43.67094,-79.39086,Yonge St / Aylmer Ave
Blu Ristorante,90 Avenue Road,4.0,167,43.67237,-79.39586,Yonge St / Aylmer Ave
Lee Chen Bistro,813 Yonge Street,3.5,173,43.672372,-79.387436,Yonge St / Aylmer Ave
Yorkville Crepes,18 Yorkville Avenue,3.5,183,43.6721931,-79.3878664,Yonge St / Aylmer Ave
Joso's,202 Davenport Road,4.5,164,43.6751099,-79.39607,Davenport Rd / Avenue Rd
Black Camel,4 Crescent Road,4.5,377,43.677122232751,-79.389209714264,Davenport Rd / Avenue Rd
Scaramouche Restaurant Pasta Bar & Grill,1 Benvenuto Place,4.5,328,43.68155,-79.39991,Davenport Rd / Avenue Rd
Playa Cabana,111 Dupont Street,4.0,466,43.6759577692695,-79.4011840224266,Davenport Rd / Avenue Rd
Grandma Loves You,1084 Yonge Street,5.0,70,43.677846,-79.3901081050852,Davenport Rd / Avenue Rd
PLANTA,1221 Bay Street,4.0,483,43.6702150961667,-79.3894335574237,Davenport Rd / Avenue Rd
Trattoria Nervosa,75 Yorkville Avenue,4.0,381,43.67101,-79.39104,Davenport Rd / Avenue Rd
Blu Ristorante,90 Avenue Road,4.0,167,43.67237,-79.39586,Davenport Rd / Avenue Rd
Sassafraz,100 Cumberland Street,3.5,399,43.6702957,-79.3910686,Davenport Rd / Avenue Rd
Gyubee Japanese Grill - Bloor,335 Bloor Street W,4.0,296,43.66716,-79.40047,Davenport Rd / Avenue Rd
Ristorante Sotto Sotto,120 Avenue Road,4.0,117,43.67374,-79.39646,Davenport Rd / Avenue Rd
Wow Sushi,11 Charles Street,4.0,420,43.6685157490107,-79.3868207931519,Davenport Rd / Avenue Rd
Buca Yorkville,53 Scollard Street,4.0,203,43.67214,-79.3894,Davenport Rd / Avenue Rd
Café Boulud,60 Yorkville Avenue,3.5,272,43.6719213,-79.388922,Davenport Rd / Avenue Rd
Fieramosca,36A Prince Arthur Avenue,4.5,109,43.66963,-79.39719,Davenport Rd / Avenue Rd
Okonomi House Restaurant,23 Charles Street W,4.0,305,43.668311069021,-79.387133746804,Davenport Rd / Avenue Rd
The Oxley,121 Yorkville Avenue,4.0,164,43.6707168,-79.393126,Davenport Rd / Avenue Rd
Salad Days,Cumberland Terrace,4.5,124,43.6704,-79.38719,Davenport Rd / Avenue Rd
Utsav,69 Yorkville Ave,4.0,132,43.67094,-79.39086,Davenport Rd / Avenue Rd
Dimmi Bar & Trattoria,140 Cumberland St,3.5,214,43.67017,-79.3927,Davenport Rd / Avenue Rd
PLANTA,1221 Bay Street,4.0,483,43.6702150961667,-79.3894335574237,Yonge St / Yorkville Ave
Black Camel,4 Crescent Road,4.5,377,43.677122232751,-79.389209714264,Yonge St / Yorkville Ave
Wow Sushi,11 Charles Street,4.0,420,43.6685157490107,-79.3868207931519,Yonge St / Yorkville Ave
Trattoria Nervosa,75 Yorkville Avenue,4.0,381,43.67101,-79.39104,Yonge St / Yorkville Ave
Sassafraz,100 Cumberland Street,3.5,399,43.6702957,-79.3910686,Yonge St / Yorkville Ave
Salad Days,Cumberland Terrace,4.5,124,43.6704,-79.38719,Yonge St / Yorkville Ave
Okonomi House Restaurant,23 Charles Street W,4.0,305,43.668311069021,-79.387133746804,Yonge St / Yorkville Ave
Café Boulud,60 Yorkville Avenue,3.5,272,43.6719213,-79.388922,Yonge St / Yorkville Ave
Buca Yorkville,53 Scollard Street,4.0,203,43.67214,-79.3894,Yonge St / Yorkville Ave
Riddle Room,579 Yonge Street,4.5,185,43.6657555,-79.3847049,Yonge St / Yorkville Ave
Grandma Loves You,1084 Yonge Street,5.0,70,43.677846,-79.3901081050852,Yonge St / Yorkville Ave
Salad House,13 Hayden Street,4.5,88,43.6695636,-79.3855593,Yonge St / Yorkville Ave
The Keg Steakhouse + Bar,515 Jarvis Street,4.0,359,43.6668345,-79.3779253,Yonge St / Yorkville Ave
Tokyo Kitchen,20 Charles Street E,4.0,161,43.6690940080509,-79.3851124367706,Yonge St / Yorkville Ave
7 West Cafe,7 Charles Street W,3.5,431,43.6685661933329,-79.3865257501602,Yonge St / Yorkville Ave
Eataly,55 Bloor Street W,3.5,262,43.6696154170451,-79.3887948598768,Yonge St / Yorkville Ave
Portici,6 Scollard Street,4.0,86,43.67196,-79.39072,Yonge St / Yorkville Ave
Yorkville Crepes,18 Yorkville Avenue,3.5,183,43.6721931,-79.3878664,Yonge St / Yorkville Ave
Lee Chen Bistro,813 Yonge Street,3.5,173,43.672372,-79.387436,Yonge St / Yorkville Ave
Joso's,202 Davenport Road,4.5,164,43.6751099,-79.39607,Yonge St / Yorkville Ave
Lady Marmalade,265 Broadview Avenue,4.0,618,43.66319,-79.35134,Dundas St E / Broadview Ave
White Lily Diner,678 Queen Street E,4.5,136,43.65881,-79.3511599,Dundas St E / Broadview Ave
Bach Yen,738 Gerrard Street E,4.0,209,43.66684,-79.34756,Dundas St E / Broadview Ave
Tabule Middle Eastern Cuisine,810 Queen Street  E,4.0,196,43.659652,-79.346481,Dundas St E / Broadview Ave
Bonjour Brioche,812 Queen Street E,3.5,303,43.65985,-79.34627,Dundas St E / Broadview Ave
Que Ling Restaurant,248 Boulton Avenue,4.0,86,43.6658199,-79.34941,Dundas St E / Broadview Ave
Mi Mi Restaurant,688 Gerrard Street E,4.0,135,43.66637,-79.34911,Dundas St E / Broadview Ave
The Comrade,758 Queen Street E,4.0,83,43.659392263038,-79.347948327349,Dundas St E / Broadview Ave
Souk Tabule,494 Front Street E,4.5,120,43.653832,-79.354442,Dundas St E / Broadview Ave
Batifole Restaurant,744 Gerrard Street E,4.0,79,43.66678,-79.34733,Dundas St E / Broadview Ave
Wynona,819 Gerrard Street E,4.5,57,43.66706,-79.34454,Dundas St E / Broadview Ave
Pho House,625 Gerrard Street E,4.0,84,43.66566,-79.35089,Dundas St E / Broadview Ave
La Carnita,780 Queen Street E,3.5,129,43.6596718,-79.3473892,Dundas St E / Broadview Ave
Dumpling House,619 Gerrard Street E,3.5,88,43.6656887,-79.351097,Dundas St E / Broadview Ave
Pizza-Pide,949 Gerrard Street E,4.5,96,43.668018539213,-79.340488604146,Dundas St E / Broadview Ave
Wok & Roast Chinese BBQ,349 Broadview Ave,3.5,106,43.66505,-79.35218,Dundas St E / Broadview Ave
Purple Penguin Cafe,889 Queen Street E,4.0,76,43.66033,-79.34219,Dundas St E / Broadview Ave
Eastside Social,1008 Queen Street E,4.5,79,43.661432,-79.339113,Dundas St E / Broadview Ave
Leslieville Pumps,913 Queen Street E,4.0,118,43.660616433760254,-79.34148396015718,Dundas St E / Broadview Ave
Hanoi 3 Seasons,588 Gerrard Street E,3.5,68,43.66566953024,-79.352074538076,Dundas St E / Broadview Ave
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3298,43.64784,-79.38872,Front St W / Yonge St (Hockey Hall of Fame)
Richmond Station,1 Richmond Street W,4.5,857,43.6513729,-79.379285,Front St W / Yonge St (Hockey Hall of Fame)
Miku,105-10 Bay Street,4.0,867,43.6412346,-79.3773697,Front St W / Yonge St (Hockey Hall of Fame)
Canoe,66 Wellington Street  W,4.0,730,43.646954,-79.382159,Front St W / Yonge St (Hockey Hall of Fame)
Byblos,11 Duncan Street,4.5,883,43.647546,-79.388123,Front St W / Yonge St (Hockey Hall of Fame)
Beerbistro,18 King Street E,4.0,679,43.649467134996364,-79.3771696548727,Front St W / Yonge St (Hockey Hall of Fame)
Pearl Diver,100 Adelaide Street E,4.0,615,43.65163,-79.37375,Front St W / Yonge St (Hockey Hall of Fame)
Cafe Landwer - Adelaide & University,165 University Avenue,4.0,463,43.64875,-79.38491,Front St W / Yonge St (Hockey Hall of Fame)
Eggspectation,483 Bay Street,4.0,747,43.6532721,-79.3812455,Front St W / Yonge St (Hockey Hall of Fame)
Cactus Club Cafe,77 Adelaide Street W,4.0,574,43.64950420768667,-79.38251803088575,Front St W / Yonge St (Hockey Hall of Fame)
JaBistro,222 Richmond Street W,4.0,575,43.64989,-79.38821,Front St W / Yonge St (Hockey Hall of Fame)
Mystic Muffin,113 Jarvis Street,4.5,287,43.652457948594,-79.372548881465,Front St W / Yonge St (Hockey Hall of Fame)
King Taps,100 King Street W,4.0,378,43.6486379269,-79.3817439,Front St W / Yonge St (Hockey Hall of Fame)
Sansotei Ramen,179 Dundas Street W,4.0,925,43.655,-79.38643,Front St W / Yonge St (Hockey Hall of Fame)
Sukho Thai,52 Wellington Street E,3.5,541,43.6485607,-79.3745641,Front St W / Yonge St (Hockey Hall of Fame)
360 Restaurant,CN Tower,3.5,953,43.642768093479,-79.3870997428894,Front St W / Yonge St (Hockey Hall of Fame)
Tachi,111 Richmond Street W,4.5,172,43.6502911,-79.3839517,Front St W / Yonge St (Hockey Hall of Fame)
The Keg Steakhouse + Bar - York Street,165 York Street,4.0,295,43.650011481693866,-79.38395891300931,Front St W / Yonge St (Hockey Hall of Fame)
The Poke Box,36 Toronto Street,4.5,175,43.6505,-79.37657,Front St W / Yonge St (Hockey Hall of Fame)
Estiatorio Volos,133 Richmond St W,4.0,330,43.65016,-79.38477,Front St W / Yonge St (Hockey Hall of Fame)
Lady Marmalade,265 Broadview Avenue,4.0,618,43.66319,-79.35134,Gerrard St E / River St
The House On Parliament,454 Parliament Street,4.0,315,43.66359,-79.36794,Gerrard St E / River St
Zakkushi On Carlton,193 Carlton Street,4.0,320,43.66343,-79.37062,Gerrard St E / River St
El Nahual Tacos,556 parliament st,4.5,146,43.666945,-79.36922000060865,Gerrard St E / River St
White Lily Diner,678 Queen Street E,4.5,136,43.65881,-79.3511599,Gerrard St E / River St
Bach Yen,738 Gerrard Street E,4.0,209,43.66684,-79.34756,Gerrard St E / River St
Tabule Middle Eastern Cuisine,810 Queen Street  E,4.0,196,43.659652,-79.346481,Gerrard St E / River St
Que Ling Restaurant,248 Boulton Avenue,4.0,86,43.6658199,-79.34941,Gerrard St E / River St
Mi Mi Restaurant,688 Gerrard Street E,4.0,135,43.66637,-79.34911,Gerrard St E / River St
Bonjour Brioche,812 Queen Street E,3.5,303,43.65985,-79.34627,Gerrard St E / River St
Saigon PAI,446 Parliament Street,4.5,50,43.663435,-79.367799,Gerrard St E / River St
The Comrade,758 Queen Street E,4.0,83,43.659392263038,-79.347948327349,Gerrard St E / River St
Maya Bay Thai,252 Carlton Street,4.0,45,43.66447,-79.3682,Gerrard St E / River St
Salt and Tobacco,521 Parliament Street,4.5,59,43.66536,-79.3681299,Gerrard St E / River St
Pho House,625 Gerrard Street E,4.0,84,43.66566,-79.35089,Gerrard St E / River St
Batifole Restaurant,744 Gerrard Street E,4.0,79,43.66678,-79.34733,Gerrard St E / River St
Wok & Roast Chinese BBQ,349 Broadview Ave,3.5,106,43.66505,-79.35218,Gerrard St E / River St
Kibo Sushi House,533 Parliament Street,4.0,68,43.66569,-79.3682199,Gerrard St E / River St
Dumpling House,619 Gerrard Street E,3.5,88,43.6656887,-79.351097,Gerrard St E / River St
Figs Breakfast & Lunch,344 Queen Street E,3.5,140,43.6558148000132,-79.3647133558989,Gerrard St E / River St
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1772,43.66042406856627,-79.37890046282942,Jarvis St / Dundas St E
Blaze Pizza,10 Dundas Street East,4.5,578,43.6565313336776,-79.3800427473602,Jarvis St / Dundas St E
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,881,43.656321731393,-79.377499580039,Jarvis St / Dundas St E
Richmond Station,1 Richmond Street W,4.5,857,43.6513729,-79.379285,Jarvis St / Dundas St E
Katsuya,66 Gerrard Street E,4.5,473,43.65995,-79.37882,Jarvis St / Dundas St E
