restaurant_name,address,rating,review_count,reslatitude,reslongitude,bikeStationAddress,bikeStationDistance,latitude,longitude,freeBikes
Star King Viet Thai Cuisine,2350 Yonge Street,3.5,86.0,43.7085029,-79.3989157,Blythwood Rd / Yonge St - SMART,,43.716652,-79.399993,7
The Grover Pub,676 Kingston Road,3.5,38.0,43.67933,-79.29715,Gerrard St E / Ted Reeve Dr,,43.684261,-79.299332,5
Boukan,452 Kingston Road,4.5,11.0,43.67712,-79.30402,Gerrard St E / Ted Reeve Dr,,43.684261,-79.299332,5
Otoro Sushi,103-2323 Bloor Street W,4.5,27.0,43.65001,-79.47995,Neil McLellan Park - SMART,,43.65143,-79.47779,10
Gatto Wood Oven Pizza,2312 Bloor Street W,4.0,39.0,43.65062,-79.47977,Neil McLellan Park - SMART,,43.65143,-79.47779,10
Bryden's,2455 Bloor Street W,4.0,68.0,43.64903,-79.48453,Neil McLellan Park - SMART,,43.65143,-79.47779,10
The Coffee Boutique,2285 Booor Street W,5.0,12.0,43.6488106048734,-79.485970325768,Neil McLellan Park - SMART,,43.65143,-79.47779,10
Ka Chi,2322 Bloor Street W,3.5,53.0,43.65056,-79.48018,Neil McLellan Park - SMART,,43.65143,-79.47779,10
Yumi Japanese Restaurant,2384 Bloor Street W,3.5,42.0,43.65005,-79.48238,Neil McLellan Park - SMART,,43.65143,-79.47779,10
Queen Margherita Pizza - Baby Point,785 Annette Street,3.5,107.0,43.6581688,-79.4877396,Neil McLellan Park - SMART,,43.65143,-79.47779,10
ASA Sushi,18 Jane Street,3.5,47.0,43.6497699,-79.4849799,Jane St / Bloor St W (Jane Subway Station),,43.64976,-79.48477,10
